seed,op,arg,bits
-1,long,-1,14966658997320701178
-1,long,-1,4403664655197798852
-1,long,-1,1997536902349909558
-1,long,-1,10999663580186596782
-1,long,-1,17430198115677738306
-1,long,-1,4038282759222968018
-1,long,-1,1467909348867789473
-1,float,-1,1061119351
-1,float,-1,1054690280
-1,float,-1,1054612532
-1,float,-1,1063286143
-1,float,-1,1040414964
-1,float,-1,1050632036
-1,float,-1,1063132703
-1,float,-1,1044219808
-1,double,-1,4595687581663157160
-1,double,-1,4605348459375602993
-1,double,-1,4600782027987196386
-1,double,-1,4600536410179810254
-1,double,-1,4600697702455878572
-1,double,-1,4605787669991892963
-1,double,-1,4598146044218537412
-1,double,-1,4601151771176979270
-1,bool,-1,1
-1,bool,-1,1
-1,bool,-1,0
-1,bool,-1,1
-1,bool,-1,1
-1,bool,-1,1
-1,bool,-1,0
-1,bool,-1,0
-1,bool,-1,1
-1,bool,-1,1
-1,bool,-1,0
-1,bool,-1,0
-1,bool,-1,1
-1,bool,-1,1
-1,bool,-1,0
-1,bool,-1,0
42,int,-1,3124862261
42,int,-1,234785527
42,int,-1,2934422497
42,int,-1,205897768
42,int,-1,1325939940
42,int,-1,4046175051
42,int,-1,1190043011
42,int,-1,3039593837
42,int,-1,2858511038
42,int,-1,392236186
42,int,-1,3879954365
42,int,-1,1938135004
42,int,-1,1583910553
42,int,-1,1639144584
42,int,-1,1184328952
42,int,-1,2965356064
42,intb,2,0
42,intb,3,0
42,intb,5,3
42,intb,6,5
42,intb,7,5
42,intb,10,3
42,intb,100,26
42,intb,1000,913
42,intb,1024,767
42,intb,65536,60989
42,intb,1073741824,415073015
42,intb,999999999,714307459
42,long,-1,3272055439932147596
42,long,-1,10963820828212025673
42,long,-1,3869528714570848026
42,long,-1,15236381168274977919
42,long,-1,3176860285874836986
42,long,-1,10836122714263006425
42,long,-1,13858677311567850498
42,long,-1,10533835270096002690
42,float,-1,1058307202
42,float,-1,1035578952
42,float,-1,1061201021
42,float,-1,1061974569
42,float,-1,1023455328
42,float,-1,1050808460
42,float,-1,1052197190
42,float,-1,1045158920
42,double,-1,4605541279451228657
42,double,-1,4601196009837560886
42,double,-1,4606948553009737253
42,double,-1,4604601011859069365
42,double,-1,4602328880772655176
42,double,-1,4598925636290161860
42,double,-1,4606730799042289342
42,double,-1,4605565552885402995
42,bool,-1,1
42,bool,-1,0
42,bool,-1,0
42,bool,-1,0
42,bool,-1,0
42,bool,-1,0
42,bool,-1,0
42,bool,-1,1
42,bool,-1,0
42,bool,-1,1
42,bool,-1,0
42,bool,-1,1
42,bool,-1,0
42,bool,-1,1
42,bool,-1,1
42,bool,-1,0
25214903917,int,-1,0
25214903917,int,-1,4232237
25214903917,int,-1,178803790
25214903917,int,-1,758674372
25214903917,int,-1,1565954732
25214903917,int,-1,392261992
25214903917,int,-1,396415378
25214903917,int,-1,2092582042
25214903917,int,-1,2262375224
25214903917,int,-1,1951776693
25214903917,int,-1,1001493746
25214903917,int,-1,3570371042
25214903917,int,-1,4001756243
25214903917,int,-1,2439797459
25214903917,int,-1,2388406971
25214903917,int,-1,218321409
25214903917,intb,2,1
25214903917,intb,3,2
25214903917,intb,5,2
25214903917,intb,6,3
25214903917,intb,7,5
25214903917,intb,10,4
25214903917,intb,100,24
25214903917,intb,1000,969
25214903917,intb,1024,829
25214903917,intb,65536,12348
25214903917,intb,1073741824,951672887
25214903917,intb,999999999,225384276
25214903917,long,-1,1416240747525818885
25214903917,long,-1,18168032539595000881
25214903917,long,-1,16489653374373063562
25214903917,long,-1,1861576665559791380
25214903917,long,-1,366014060868491421
25214903917,long,-1,12523077847156324580
25214903917,long,-1,13884987140319232226
25214903917,long,-1,11518270868645992339
25214903917,float,-1,1058936766
25214903917,float,-1,1061510029
25214903917,float,-1,1044316988
25214903917,float,-1,1056854606
25214903917,float,-1,1057123998
25214903917,float,-1,1050788544
25214903917,float,-1,1060348615
25214903917,float,-1,1052510144
25214903917,double,-1,4606068339632491533
25214903917,double,-1,4602906272510784646
25214903917,double,-1,4603063815567312168
25214903917,double,-1,4595334054564707872
25214903917,double,-1,4605938573288889705
25214903917,double,-1,4587738320095529984
25214903917,double,-1,4599693543388234868
25214903917,double,-1,4598541175206456764
25214903917,bool,-1,1
25214903917,bool,-1,1
25214903917,bool,-1,0
25214903917,bool,-1,1
25214903917,bool,-1,1
25214903917,bool,-1,1
25214903917,bool,-1,1
25214903917,bool,-1,1
25214903917,bool,-1,1
25214903917,bool,-1,1
25214903917,bool,-1,0
25214903917,bool,-1,0
25214903917,bool,-1,0
25214903917,bool,-1,0
25214903917,bool,-1,1
25214903917,bool,-1,1
123456789,int,-1,2852021931
123456789,int,-1,3278419201
123456789,int,-1,1962592967
123456789,int,-1,1094656688
123456789,int,-1,1677212580
123456789,int,-1,930275108
123456789,int,-1,3836871066
123456789,int,-1,1827465615
123456789,int,-1,3219686595
123456789,int,-1,1851145775
123456789,int,-1,1543966882
123456789,int,-1,2105985923
123456789,int,-1,2041709329
123456789,int,-1,68659964
123456789,int,-1,2092500449
123456789,int,-1,2054142522
123456789,intb,2,0
123456789,intb,3,1
123456789,intb,5,0
123456789,intb,6,1
123456789,intb,7,6
123456789,intb,10,6
123456789,intb,100,38
123456789,intb,1000,754
123456789,intb,1024,196
123456789,intb,65536,62118
123456789,intb,1073741824,531345599
123456789,intb,999999999,280665921
123456789,long,-1,15838727842675041184
123456789,long,-1,12324367125617655547
123456789,long,-1,10952775556001862732
123456789,long,-1,4270134321161648041
123456789,long,-1,16182431122444033332
123456789,long,-1,9454170315924947891
123456789,long,-1,16298282977411551263
123456789,long,-1,13215484368433745052
123456789,float,-1,1058483843
123456789,float,-1,1060508615
123456789,float,-1,1055145844
123456789,float,-1,1060066755
123456789,float,-1,1060570746
123456789,float,-1,1057982679
123456789,float,-1,1058266931
123456789,float,-1,1023428960
123456789,double,-1,4599185002435053198
123456789,double,-1,4601949835299688370
123456789,double,-1,4600504283382574632
123456789,double,-1,4601410155817942256
123456789,double,-1,4606542661370063400
123456789,double,-1,4591257925485503968
123456789,double,-1,4601550123908845006
123456789,double,-1,4601606385889142266
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,1
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,1
123456789,bool,-1,1
123456789,bool,-1,1
123456789,bool,-1,0
123456789,bool,-1,0
123456789,bool,-1,1
-987654321,int,-1,2980196725
-987654321,int,-1,2646759068
-987654321,int,-1,2592328833
-987654321,int,-1,3259091260
-987654321,int,-1,3539585420
-987654321,int,-1,2017137082
-987654321,int,-1,186204044
-987654321,int,-1,3435260740
-987654321,int,-1,3368149756
-987654321,int,-1,1744824593
-987654321,int,-1,586462233
-987654321,int,-1,1387132817
-987654321,int,-1,16507807
-987654321,int,-1,1943166681
-987654321,int,-1,3915576007
-987654321,int,-1,3640917877
-987654321,intb,2,1
-987654321,intb,3,0
-987654321,intb,5,1
-987654321,intb,6,5
-987654321,intb,7,5
-987654321,intb,10,6
-987654321,intb,100,82
-987654321,intb,1000,203
-987654321,intb,1024,773
-987654321,intb,65536,17721
-987654321,intb,1073741824,283021887
-987654321,intb,999999999,851461552
-987654321,long,-1,16655957203199386014
-987654321,long,-1,12952016757207526407
-987654321,long,-1,14739229315905982972
-987654321,long,-1,17276584950538914128
-987654321,long,-1,2449501536726133526
-987654321,long,-1,17095326907079302181
-987654321,long,-1,444656138495413708
-987654321,long,-1,10170023653620023637
-987654321,float,-1,1042201540
-987654321,float,-1,1052606138
-987654321,float,-1,1042131336
-987654321,float,-1,1062395201
-987654321,float,-1,1061446876
-987654321,float,-1,1063746799
-987654321,float,-1,1061502112
-987654321,float,-1,1053049918
-987654321,double,-1,4602977641020175887
-987654321,double,-1,4600343090718486060
-987654321,double,-1,4607129260634899895
-987654321,double,-1,4597344895251958096
-987654321,double,-1,4595126296560776136
-987654321,double,-1,4599244179042227166
-987654321,double,-1,4599723917372349688
-987654321,double,-1,4606402546780518251
-987654321,bool,-1,1
-987654321,bool,-1,0
-987654321,bool,-1,1
-987654321,bool,-1,1
-987654321,bool,-1,1
-987654321,bool,-1,0
-987654321,bool,-1,1
-987654321,bool,-1,1
-987654321,bool,-1,1
-987654321,bool,-1,0
-987654321,bool,-1,0
-987654321,bool,-1,0
-987654321,bool,-1,1
-987654321,bool,-1,1
-987654321,bool,-1,1
-987654321,bool,-1,1
-9223372036854775808,int,-1,3139482720
-9223372036854775808,int,-1,3571011896
-9223372036854775808,int,-1,1033096058
-9223372036854775808,int,-1,2604232894
-9223372036854775808,int,-1,2737687030
-9223372036854775808,int,-1,1327362106
-9223372036854775808,int,-1,2364108983
-9223372036854775808,int,-1,502539523
-9223372036854775808,int,-1,2566437438
-9223372036854775808,int,-1,3356665709
-9223372036854775808,int,-1,1431162155
-9223372036854775808,int,-1,1085665355
-9223372036854775808,int,-1,1654374947
-9223372036854775808,int,-1,2632968525
-9223372036854775808,int,-1,4229862191
-9223372036854775808,int,-1,4221177688
-9223372036854775808,intb,2,1
-9223372036854775808,intb,3,0
-9223372036854775808,intb,5,1
-9223372036854775808,intb,6,2
-9223372036854775808,intb,7,1
-9223372036854775808,intb,10,8
-9223372036854775808,intb,100,24
-9223372036854775808,intb,1000,947
-9223372036854775808,intb,1024,150
-9223372036854775808,intb,65536,46214
-9223372036854775808,intb,1073741824,24951751
-9223372036854775808,intb,999999999,2977882
-9223372036854775808,long,-1,10085568407825846111
-9223372036854775808,long,-1,17791642137626769530
-9223372036854775808,long,-1,1927512926176735975
-9223372036854775808,long,-1,11531915052717248108
-9223372036854775808,long,-1,7577852396602278602
-9223372036854775808,long,-1,14320434048764796566
-9223372036854775808,long,-1,18275609489848673070
-9223372036854775808,long,-1,8987859488885190724
-9223372036854775808,float,-1,1061095853
-9223372036854775808,float,-1,1065033528
-9223372036854775808,float,-1,1060876250
-9223372036854775808,float,-1,1058139588
-9223372036854775808,float,-1,1062287969
-9223372036854775808,float,-1,1011995328
-9223372036854775808,float,-1,1062650244
-9223372036854775808,float,-1,1054019124
-9223372036854775808,double,-1,4602919306300121868
-9223372036854775808,double,-1,4606275709191625942
-9223372036854775808,double,-1,4593993711619792956
-9223372036854775808,double,-1,4590649697234272552
-9223372036854775808,double,-1,4606989433612564701
-9223372036854775808,double,-1,4604681634050891064
-9223372036854775808,double,-1,4604615646360347105
-9223372036854775808,double,-1,4594328078481508436
-9223372036854775808,bool,-1,0
-9223372036854775808,bool,-1,0
-9223372036854775808,bool,-1,0
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,0
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,0
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,0
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,1
-9223372036854775808,bool,-1,1
9223372036854775807,int,-1,1155099827
9223372036854775807,int,-1,1887904451
9223372036854775807,int,-1,52699159
9223372036854775807,int,-1,2353790878
9223372036854775807,int,-1,2843631209
9223372036854775807,int,-1,2580396876
9223372036854775807,int,-1,1788588954
9223372036854775807,int,-1,1714930956
9223372036854775807,int,-1,3548355530
9223372036854775807,int,-1,242825462
9223372036854775807,int,-1,3461903616
9223372036854775807,int,-1,1330441025
9223372036854775807,int,-1,243908635
9223372036854775807,int,-1,299040393
9223372036854775807,int,-1,353780684
9223372036854775807,int,-1,2963944501
9223372036854775807,intb,2,1
9223372036854775807,intb,3,2
9223372036854775807,intb,5,1
9223372036854775807,intb,6,1
9223372036854775807,intb,7,0
9223372036854775807,intb,10,7
9223372036854775807,intb,100,63
9223372036854775807,intb,1000,143
9223372036854775807,intb,1024,636
9223372036854775807,intb,65536,21986
9223372036854775807,intb,1073741824,249791272
9223372036854775807,intb,999999999,6265644
9223372036854775807,long,-1,3247304054509887768
9223372036854775807,long,-1,14966658997320701178
9223372036854775807,long,-1,4403664655197798852
9223372036854775807,long,-1,1997536902349909558
9223372036854775807,long,-1,10999663580186596782
9223372036854775807,long,-1,17430198115677738306
9223372036854775807,long,-1,4038282759222968018
9223372036854775807,long,-1,1467909348867789473
9223372036854775807,float,-1,1061119351
9223372036854775807,float,-1,1054690280
9223372036854775807,float,-1,1054612532
9223372036854775807,float,-1,1063286143
9223372036854775807,float,-1,1040414964
9223372036854775807,float,-1,1050632036
9223372036854775807,float,-1,1063132703
9223372036854775807,float,-1,1044219808
9223372036854775807,double,-1,4595687581663157160
9223372036854775807,double,-1,4605348459375602993
9223372036854775807,double,-1,4600782027987196386
9223372036854775807,double,-1,4600536410179810254
9223372036854775807,double,-1,4600697702455878572
9223372036854775807,double,-1,4605787669991892963
9223372036854775807,double,-1,4598146044218537412
9223372036854775807,double,-1,4601151771176979270
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,0
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,0
9223372036854775807,bool,-1,0
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,0
9223372036854775807,bool,-1,0
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,1
9223372036854775807,bool,-1,0
9223372036854775807,bool,-1,0
